month_year,median_price,sentiment_score,median_price_change_pct,sales_volume,uncertainty_mentions,uncertainty_score,minutes_word_length
2025-03,450000,0.000932836,,340,16,0.176470588,1072
2025-04,450000,0.007952286,0,358,12,0.05,1006
2025-05,475000,0.009605123,5.555555556,321,11,0.2,937
2025-06,449995,-0.001085776,-5.264210526,292,7,0.166666667,921
2025-07,500000,0.023676012,11.11234569,394,13,0.078431373,1605
2025-09,468200,0.038405797,-6.36,372,8,0.032786885,1380
2025-10,475000,0.012844037,1.452370782,285,14,0.028571429,1635
2025-11,490000,0.012844037,3.157894737,329,14,0.028571429,1635
2025-12,448500,0.038505747,-8.469387755,290,10,0.038961039,1740
